Asset ID,Asset Type,Asset Name,Description,Classification,Owner,Custodian,Location,Status,Value (£),Purchase Date,Last Reviewed,Next Review,Tags/Notes
AWS-VPC-001,Cloud Infrastructure,Production VPC,VPC 10.0.0.0/16 with public/private subnets across 2 AZs,CONFIDENTIAL,Senior Developer,Senior Developer,AWS eu-west-2,Active,N/A (monthly cost),[Deployment Date],[Current Date],[Quarterly],"Terraform-managed; multi-AZ; flow logs enabled"
AWS-EC2-ASG-001,Cloud Infrastructure,Production Auto Scaling Group,EC2 Auto Scaling Group for application tier (min 2 max 10),CONFIDENTIAL,Senior Developer,Support Team,AWS eu-west-2 (multi-AZ),Active,£200/month,[Deployment Date],[Current Date],[Quarterly],"t3.large instances; EBS encrypted; IMDSv2; backup tagged"
AWS-RDS-001,Cloud Infrastructure,Production MySQL Database,RDS Multi-AZ MySQL 8.0.33 (db.t3.medium),RESTRICTED,Senior Developer,Senior Developer,AWS eu-west-2 (multi-AZ),Active,£300/month,[Deployment Date],[Current Date],[Monthly],"Contains all tenant data; encrypted with KMS; 7-day + 30-day + 365-day backups"
AWS-S3-TENANT-*,Cloud Infrastructure,Tenant Data Buckets,Per-tenant S3 buckets for customer data storage,RESTRICTED,Senior Developer,Development Team,AWS eu-west-2,Active,Variable,[Creation Date],[Current Date],[Quarterly],"Format: multi-tenant-app-tenant-{id}; KMS encrypted; versioned; public access blocked"
AWS-S3-STATE-001,Cloud Infrastructure,Terraform State Bucket,S3 bucket storing Terraform state files,RESTRICTED,Akam Rahimi (ISMS Lead),Senior Developer,AWS eu-west-2,Active,£5/month,[Deployment Date],[Current Date],[Monthly],"Critical infrastructure; KMS encrypted; versioned; DynamoDB locking; restricted IAM access"
AWS-KMS-SEC-001,Cloud Infrastructure,Security KMS Key,Customer-managed KMS key for security services,RESTRICTED,Akam Rahimi,Akam Rahimi,AWS eu-west-2,Active,£1/month,[Deployment Date],[Current Date],[Quarterly],"30-day deletion window; annual rotation; encrypts logs SNS ALB-logs"
AWS-KMS-RDS-001,Cloud Infrastructure,RDS KMS Key,Customer-managed KMS key for RDS encryption,RESTRICTED,Akam Rahimi,Senior Developer,AWS eu-west-2,Active,£1/month,[Deployment Date],[Current Date],[Quarterly],"30-day deletion window; annual rotation; encrypts RDS and performance insights"
AWS-KMS-FLOW-001,Cloud Infrastructure,Flow Logs KMS Key,Customer-managed KMS key for VPC flow logs,RESTRICTED,Akam Rahimi,Senior Developer,AWS eu-west-2,Active,£1/month,[Deployment Date],[Current Date],[Quarterly],"30-day deletion window; annual rotation; encrypts VPC flow log bucket"
AWS-KMS-STATE-001,Cloud Infrastructure,Terraform State KMS Key,KMS key for Terraform state encryption,RESTRICTED,Akam Rahimi,Akam Rahimi,AWS eu-west-2,Active,£1/month,[Deployment Date],[Current Date],[Monthly],"Alias: terraform-state-key; 30-day deletion window; critical for state security"
AWS-ALB-001,Cloud Infrastructure,Application Load Balancer,ALB for HTTPS/HTTP traffic with WAF association,CONFIDENTIAL,Senior Developer,Support Team,AWS eu-west-2 (multi-AZ),Active,£50/month,[Deployment Date],[Current Date],[Quarterly],"TLS termination; HTTP→HTTPS redirect; access logs to S3; health checks enabled"
AWS-LAMBDA-001,Cloud Infrastructure,Tenant Provisioner Lambda,Lambda function for automatic tenant S3 bucket creation,CONFIDENTIAL,Senior Developer,Development Team,AWS eu-west-2,Active,£5/month,[Deployment Date],[Current Date],[Quarterly],"Python 3.11; EventBridge triggered; least-privilege IAM; logs to CloudWatch"
AWS-BACKUP-VAULT-001,Cloud Infrastructure,Production Backup Vault,AWS Backup vault for RDS EC2 S3 backups,RESTRICTED,Akam Rahimi,Senior Developer,AWS eu-west-2,Active,Variable (storage),[Deployment Date],[Current Date],[Quarterly],"KMS encrypted; daily (30d) + weekly (365d) retention; tested quarterly"
LAPTOP-001,Physical,MacBook Pro - Akam Rahimi,Company laptop for Managing Director / ISMS Lead,CONFIDENTIAL,Managing Director,Akam Rahimi,Remote Office,Active,1500,[Purchase Date],[Current Date],[Annually],"Serial: [SERIAL]; FileVault encrypted; MFA token assigned; VPN configured"
LAPTOP-002,Physical,MacBook Pro - Senior Developer,Company laptop for Senior Developer,CONFIDENTIAL,Managing Director,Senior Developer,Remote Office,Active,1500,[Purchase Date],[Current Date],[Annually],"Serial: [SERIAL]; FileVault encrypted; AWS admin access; Terraform installed"
LAPTOP-003,Physical,MacBook - Developer,Company laptop for Developer,INTERNAL,Managing Director,Developer,Remote Office,Active,1200,[Purchase Date],[Current Date],[Annually],"Serial: [SERIAL]; FileVault encrypted; development tools installed"
LAPTOP-004,Physical,MacBook - Business Development,Company laptop for Business Development Director,INTERNAL,Managing Director,Business Dev Director,Remote Office,Active,1200,[Purchase Date],[Current Date],[Annually],"Serial: [SERIAL]; FileVault encrypted; email and productivity apps only"
PHONE-001,Physical,iPhone - Akam Rahimi,Mobile phone for Managing Director (MFA + calls),CONFIDENTIAL,Managing Director,Akam Rahimi,Remote,Active,800,[Purchase Date],[Current Date],[Annually],"Encrypted; screen lock; MFA app installed; Find My iPhone enabled"
PHONE-002,Physical,iPhone - Senior Developer,Mobile phone for Senior Developer (MFA + calls),INTERNAL,Managing Director,Senior Developer,Remote,Active,800,[Purchase Date],[Current Date],[Annually],"Encrypted; screen lock; MFA app installed; Find My iPhone enabled"
MFA-001,Physical,YubiKey - Akam Rahimi,Hardware MFA token for admin AWS access,RESTRICTED,Akam Rahimi,Akam Rahimi,Remote,Active,50,[Purchase Date],[Current Date],[Annually],"Backup code stored in sealed envelope in safe"
SOFTWARE-001,Software,Terraform,Infrastructure-as-Code tool for AWS provisioning,CONFIDENTIAL,Senior Developer,Development Team,Developer laptops,Active,0 (open source),[Install Date],[Current Date],[Quarterly],"Version: ≥1.5.0; License: MPL 2.0; security scanning with tfsec and Checkov"
SOFTWARE-002,Software,AWS CLI,Command-line interface for AWS management,INTERNAL,Senior Developer,Development Team,Developer laptops,Active,0 (open source),[Install Date],[Current Date],[Quarterly],"Version: Latest; License: Apache 2.0; MFA required for production access"
SOFTWARE-003,Software,Git,Version control system for code and documentation,CONFIDENTIAL,Senior Developer,Development Team,All laptops,Active,0 (open source),[Install Date],[Current Date],[Annually],"Distributed version control; all code repositories private; commit signing recommended"
DATA-001,Information,Customer Tenant Database,All customer and tenant records in RDS MySQL,RESTRICTED,Akam Rahimi (Data Controller),Senior Developer,AWS RDS (eu-west-2),Active,Critical,[Go-live Date],[Current Date],[Monthly],"Contains personal data; GDPR-protected; encrypted; backed up; Multi-AZ; access logged"
DATA-002,Information,Terraform Infrastructure Code,Complete infrastructure codebase in Git repository,CONFIDENTIAL,Senior Developer,Development Team,Git repository (private),Active,Critical,[Repository Creation],[Current Date],[Quarterly],"Source code; business logic; no secrets in code; peer review required"
DATA-003,Information,Business Contracts and Agreements,Customer contracts employment agreements supplier contracts,CONFIDENTIAL,Managing Director,Managing Director,Secure file storage,Active,High,[Various],[Current Date],[Annually],"Retention: Duration + 6-7 years; GDPR DPAs included; confidential storage required"
DATA-004,Information,Financial Records,Invoices tax records payroll bank statements,CONFIDENTIAL,Managing Director,Managing Director,Accounting system + secure storage,Active,High,Various,[Current Date],[Annually],"Retention: 7 years (HMRC); secure disposal after retention; backup in cloud accounting software"
DATA-005,Information,Employee HR Records,Employee contracts payroll NDAs training records,CONFIDENTIAL,Managing Director,Managing Director,HR system + secure files,Active,Medium,Various,[Current Date],[Annually],"Retention: Employment + 6 years; GDPR-protected; limited access"
SVC-001,Service,Amazon Web Services (AWS),Cloud infrastructure provider (IaaS PaaS),CRITICAL,Managing Director,Senior Developer,Global (eu-west-2),Active,£500-2000/month (varies),[Contract Date],[Current Date],[Annually],"Primary supplier; ISO 27001 SOC 2 certified; DPA in place; Shared Responsibility Model"
SVC-002,Service,Email Service,Business email and productivity suite,CONFIDENTIAL,Managing Director,All staff,[Provider],[Specify: Google Workspace / Office 365],Active,£10/user/month,[Contract Date],[Current Date],[Annually],"MFA enforced; data protection agreement; UK/EU data residency"
SVC-003,Service,Git Repository Hosting,Source code repository hosting,CONFIDENTIAL,Senior Developer,Development Team,[Provider],[Specify: GitHub / GitLab],Active,£variable,[Contract Date],[Current Date],[Annually],"Private repositories only; MFA enforced; backup via distributed Git model"
SVC-004,Service,Domain Registrar,DNS and domain management for app_domain,IMPORTANT,Managing Director,Senior Developer,[Provider],[Specify provider],Active,£20/year,[Registration Date],[Current Date],[Annually],"Route53 handles DNS hosting; registrar for domain renewal only; MFA on account"
DOC-001,Information,ISO 27001 Policies,Complete set of 20 information security policies,INTERNAL (policies) CONFIDENTIAL (procedures),Akam Rahimi,Akam Rahimi,Git repository (policies/),Active,High,[Creation Date],[Current Date],[Annually],"Version controlled; employee acknowledgments required; annual review mandatory"
DOC-002,Information,Technical Documentation,Infrastructure docs runbooks architecture diagrams,CONFIDENTIAL,Senior Developer,Development Team,Git repository (docs/),Active,High,[Creation Date],[Current Date],[Quarterly],"Includes readme deployment backup-restore DR-test; updated with infrastructure changes"

