Risk ID,Risk Title,Risk Description,Asset(s) Affected,Threat Source,Existing Controls,Likelihood (1-5),Impact (1-5),Inherent Risk Score,Control Effectiveness,Residual Risk Score,Risk Treatment,Risk Owner,Status,Target Completion,Last Review Date,Next Review Date,Notes
RISK-2024-001,Unauthorized Access to Terraform State,Malicious actor or insider gains access to Terraform state file containing infrastructure secrets,Terraform state S3 bucket,External attacker or malicious insider,"S3 encryption (KMS), versioning, access logging (CloudTrail), restrictive IAM policies, MFA required",2,5,10,Medium,6,Accept with monitoring,Akam Rahimi (ISMS Lead),Open,-,[Current Date],[Quarterly],"CloudWatch alarms configured for unauthorized S3 access; review CloudTrail logs monthly"
RISK-2024-002,Multi-Tenant Data Leakage,Application flaw allows one tenant to access another tenant's data,Customer tenant data in S3 and RDS,Application vulnerability or SQL injection,"Per-tenant S3 buckets, database row-level security, input validation, WAF, code reviews, penetration testing",2,5,10,High,4,Mitigate with annual pen testing,Senior Developer,Open,[Date + 30d],[Current Date],[Quarterly],"Annual penetration test scheduled; continuous monitoring via GuardDuty"
RISK-2024-003,RDS Database Failure,Hardware failure or AWS service outage causes database unavailability,MySQL RDS instance,Infrastructure failure,"Multi-AZ deployment, automated backups (7d + 30d + 365d), CloudWatch monitoring, tested DR procedures",2,4,8,High,4,Accept with monitoring,Senior Developer,Open,-,[Current Date],[Quarterly],"Multi-AZ provides automatic failover (~2 min); backup tested quarterly"
RISK-2024-004,DDoS Attack on ALB,Distributed denial of service attack overwhelms application load balancer,Application Load Balancer,External attackers,"AWS WAF rate limiting (2000/IP), AWS Shield Standard, Auto Scaling (up to 10 instances), CloudWatch alarms",4,3,12,Medium,6,Accept; consider Shield Advanced,Senior Developer,Open,-,[Current Date],[Quarterly],"WAF metrics reviewed weekly; consider AWS Shield Advanced if attacks increase"
RISK-2024-005,Insider Threat - Data Exfiltration,Malicious employee exports customer data,All customer/tenant data,Malicious insider,"Least privilege IAM, MFA, CloudTrail logging, GuardDuty anomaly detection, quarterly access reviews, NDAs, background checks",2,5,10,Medium,5,Accept with monitoring,Akam Rahimi,Open,-,[Current Date],[Quarterly],"GuardDuty monitors for unusual S3 access patterns; manual review of bulk downloads monthly"
RISK-2024-006,Compromised AWS Credentials,Phishing or credential theft leads to AWS account compromise,All AWS infrastructure,External attacker or phishing,"MFA required for all users, no long-lived access keys, CloudTrail logging, GuardDuty credential monitoring, security awareness training",3,5,15,Medium,9,Mitigate with hardware MFA tokens,Akam Rahimi,In Progress,[Date + 60d],[Current Date],[Monthly],"ACTION: Deploy hardware MFA tokens for administrators; implement IP-based access restrictions"
RISK-2024-007,Ransomware Attack,Ransomware encrypts production systems or customer data,EC2 instances and data stores,Ransomware delivery via phishing or exploit,"GuardDuty malware detection, immutable infrastructure (rebuild vs. patch), encrypted backups (daily/weekly), email filtering, security training",2,5,10,High,4,Accept with robust backups,Senior Developer,Open,-,[Current Date],[Quarterly],"Backup restoration tested quarterly; never pay ransom policy established"
RISK-2024-008,Terraform State Corruption,Accidental or malicious corruption of Terraform state,Terraform state file,Human error or malicious modification,"S3 versioning (rollback), DynamoDB locking (concurrent mod prevention), Git version control, peer review, restricted access",2,4,8,High,3,Accept with versioning,Senior Developer,Open,-,[Current Date],[Quarterly],"S3 versioning provides rollback capability; state changes require approval"
RISK-2024-009,KMS Key Deletion,Accidental deletion of KMS key makes encrypted data inaccessible,All encrypted data (S3 RDS EBS),Human error,"30-day deletion window, CloudWatch alarms for key deletion, restricted deletion permissions (ISMS Lead only), key usage monitoring",1,5,5,High,2,Accept with safeguards,Akam Rahimi,Open,-,[Current Date],[Quarterly],"30-day window provides recovery time; alerts configured for key deletion events"
RISK-2024-010,GDPR Compliance Violation,Failure to comply with GDPR leads to ICO enforcement action,Customer personal data,Regulatory non-compliance,"Data Protection Policy, GDPR training, DPIAs, privacy notices, data subject rights procedures, CloudTrail audit logs, incident management",2,5,10,High,4,Mitigate with compliance monitoring,Akam Rahimi (DPO),Open,-,[Current Date],[Quarterly],"Quarterly GDPR compliance review; legal counsel consulted for complex issues"
RISK-2024-011,Unpatched Vulnerability Exploitation,Attacker exploits known vulnerability in unpatched system,EC2 instances and application dependencies,External attacker exploiting CVE,"Monthly AMI rebuilds with patches, automated dependency scanning (Dependabot), GuardDuty exploit detection, WAF protection, Security Hub findings",3,4,12,Medium,6,Mitigate within SLA timelines,Senior Developer,Open,-,[Current Date],[Monthly],"Critical patches: 7 days; High: 30 days; monitor CVE databases and AWS security bulletins"
RISK-2024-012,Backup Failure or Corruption,Backups fail or are corrupted making recovery impossible,All backed-up systems,Technical failure or ransomware,"Dual backup strategy (RDS native + AWS Backup), multiple retention periods (7d/30d/365d), quarterly restoration testing, encrypted backups (separate from prod), CloudWatch alarms for backup failures",1,5,5,High,2,Accept with testing,Akam Rahimi,Open,-,[Current Date],[Quarterly],"Quarterly backup restoration tests verify integrity; success rate monitored (target: 100%)"
RISK-2024-013,AWS Service Outage,AWS service outage affects availability,All AWS-hosted services,AWS infrastructure issue,"Multi-AZ deployment (auto-failover), AWS SLA (99.99%), monitoring AWS Service Health Dashboard, Business Continuity Plan",2,3,6,Medium,4,Accept (rely on AWS),Senior Developer,Open,-,[Current Date],[Quarterly],"AWS historical uptime excellent; multi-AZ mitigates AZ-level failures"
RISK-2024-014,Insufficient Capacity,System capacity insufficient for user load leading to performance degradation,EC2 ASG and RDS,Business growth or traffic spike,"Auto Scaling (min 2 max 10), CloudWatch monitoring, quarterly capacity reviews, RDS scalable storage, performance testing",3,3,9,Medium,6,Mitigate with proactive capacity planning,Senior Developer,Open,-,[Current Date],[Quarterly],"Quarterly capacity reviews; CloudWatch alarms for high CPU (>80%); auto-scaling handles spikes"
RISK-2024-015,Third-Party Supplier Breach,Security breach at supplier (AWS or SaaS) exposes EPACT data,Data stored with suppliers,Supplier security incident,"Supplier security assessments, AWS compliance certificates reviewed, encryption (keys controlled by EPACT), data minimization with third parties, DPAs in place",2,4,8,Medium,5,Accept; monitor supplier security,Managing Director,Open,-,[Current Date],[Annually],"AWS security posture excellent (ISO 27001 SOC 2); annual certificate review; monitor AWS security bulletins"

